group,signal,kind,left,right,rows,flight_weight
KRDU/train,raw,speed_mps,176.0,178.0,49,0.15363898287159827
KRDU/train,raw,speed_mps,178.0,180.0,35,0.11020876360544207
KRDU/train,raw,speed_mps,180.0,182.0,42,0.1381000058090649
KRDU/train,raw,speed_mps,182.0,184.0,14,0.04811799481285561
KRDU/train,raw,speed_mps,184.0,186.0,8,0.029888844917877577
KRDU/train,raw,speed_mps,186.0,188.0,4,0.012962144644916407
KRDU/train,raw,speed_mps,188.0,190.0,1,0.00342465753419674
KRDU/train,raw,speed_mps,190.0,192.0,4,0.01808555005754897
KRDU/train,raw,speed_mps,192.0,194.0,2,0.00684931506839348
KRDU/train,raw,speed_mps,194.0,196.0,1,0.0034246575351062347
KRDU/train,raw,speed_mps,196.0,198.0,0,0.0
KRDU/train,raw,speed_mps,198.0,200.0,0,0.0
KRDU/train,raw,speed_mps,200.0,202.0,0,0.0
KRDU/train,raw,speed_mps,202.0,204.0,0,0.0
KRDU/train,raw,speed_mps,204.0,206.0,0,0.0
KRDU/train,raw,speed_mps,206.0,208.0,0,0.0
KRDU/train,raw,speed_mps,208.0,210.0,0,0.0
KRDU/train,raw,speed_mps,210.0,212.0,0,0.0
KRDU/train,raw,speed_mps,212.0,214.0,0,0.0
KRDU/train,raw,speed_mps,214.0,216.0,0,0.0
KRDU/train,raw,speed_mps,216.0,218.0,0,0.0
KRDU/train,raw,speed_mps,218.0,220.0,0,0.0
KRDU/train,raw,speed_mps,220.0,222.0,0,0.0
KRDU/train,raw,speed_mps,222.0,224.0,1,0.008196721310923749
KRDU/train,raw,speed_mps,224.0,226.0,0,0.0
KRDU/train,raw,speed_mps,226.0,228.0,0,0.0
KRDU/train,raw,speed_mps,228.0,230.0,1,0.00740740740820911
KRDU/train,raw,speed_mps,230.0,232.0,0,0.0
KRDU/train,raw,speed_mps,232.0,234.0,0,0.0
KRDU/train,raw,speed_mps,234.0,236.0,0,0.0
KRDU/train,raw,speed_mps,236.0,238.0,0,0.0
KRDU/train,raw,speed_mps,238.0,240.0,0,0.0
KRDU/train,raw,speed_mps,240.0,242.0,0,0.0
KRDU/train,raw,speed_mps,242.0,244.0,0,0.0
KRDU/train,raw,speed_mps,244.0,246.0,0,0.0
KRDU/train,raw,speed_mps,246.0,248.0,0,0.0
KRDU/train,raw,speed_mps,248.0,250.0,0,0.0
KRDU/train,raw,height_m,-150.0,-125.0,0,0.0
KRDU/train,raw,height_m,-125.0,-100.0,0,0.0
KRDU/train,raw,height_m,-100.0,-75.0,0,0.0
KRDU/train,raw,height_m,-75.0,-50.0,0,0.0
KRDU/train,raw,height_m,-50.0,-25.0,0,0.0
KRDU/train,raw,height_m,-25.0,0.0,6,0.034015948431345006
KRDU/train,raw,height_m,0.0,25.0,4727,26.691791760858496
KRDU/train,raw,height_m,25.0,50.0,22411,129.86926457241657
KRDU/train,raw,height_m,50.0,75.0,24574,142.67684702646872
KRDU/train,raw,height_m,75.0,100.0,21602,124.72420896564068
